"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag129",5,5,5,5,5,5,5,5,5,5,5,5
"ag130",5,5,5,5,5,5,5,5,5,5,5,5
"ag131",5,5,5,5,5,5,5,5,5,5,5,5
"ag132",5,5,5,5,5,5,5,5,5,5,5,5
"ag133",5,5,5,5,5,5,5,5,5,5,5,5
"ag134",5,5,5,5,5,5,5,5,5,5,5,5
"ag136",5,5,5,5,5,5,5,5,5,5,5,5
"ag137",5,5,5,5,5,5,5,5,5,5,5,5
"ag139",5,5,5,5,5,5,5,5,5,5,5,5
"ag140",5,5,5,5,5,5,5,5,5,5,5,5
"ag141",5,5,5,5,5,5,5,5,5,5,5,5
"ag142",5,5,5,5,5,5,5,5,5,5,5,5
"ag143",5,5,5,5,5,5,5,5,5,5,5,5
"ag144",5,5,5,5,5,5,5,5,5,5,5,5
"ag145",5,5,5,5,5,5,5,5,5,5,5,5
"ag147",5,5,5,5,5,5,5,5,5,5,5,5
"ag148",5,5,5,5,5,5,5,5,5,5,5,5
"ag149",5,5,5,5,5,5,5,5,5,5,5,8.5
"ag151",5,5,5,5,5,5,5,5,5,5,5,5
"ag152",0,5,5,5,5,5,5,5,5,5,5,5
"ag153",5,5,5,5,5,5,5,5,5,5,5,5
"ag154",5,5,5,5,5,5,5,5,5,5,5,5
"ag155",5,5,5,5,5,5,5,5,5,5,5,5
"ag156",5,5,5,5,5,5,5,5,5,5,5,5
"ag157",5,5,5,5,5,5,5,5,5,5,5,5
"ag159",5,5,5,5,5,5,5,5,5,5,5,5
"ag160",5,5,5,5,5,5,5,5,5,5,5,5
"ag161",5,5,5,5,5,5,5,5,5,5,5,5
"ag162",5,5,5,5,5,5,5,5,5,5,5,5
"ag163",5,5,5,5,5,5,5,5,5,5,5,5
"ag164",5,5,5,5,5,5,5,5,5,5,5,5
"ag165",5,5,5,5,5,5,5,5,5,5,5,5
"ag166",0,5,5,5,5,5,5,5,5,5,5,5
"ag167",5,5,5,5,5,5,5,5,5,5,5,5
"ag168",5,5,5,5,5,5,5,5,5,5,5,5
"ag169",5,5,5,5,5,5,5,5,5,5,5,5
"ag170",5,5,5,5,5,5,5,5,5,5,5,5
"ag171",5,5,5,5,5,5,5,5,5,5,5,5
"ag172",5,5,5,5,5,5,5,5,5,5,5,5
"ag173",5,5,5,5,5,5,5,5,5,5,5,5
"ag174",0,5,5,5,5,5,5,5,5,5,5,5
"ag175",5,5,5,5,5,5,5,5,5,5,5,5
"ag176",5,5,5,5,5,5,5,5,5,5,5,5
"ag177",5,5,5,5,5,5,5,5,5,5,5,5
"ag178",5,5,5,5,5,5,5,5,5,5,5,5
"ag179",5,5,5,5,5,5,5,5,5,5,5,5
"ag180",0,5,5,5,5,5,5,5,5,5,5,5
"ag181",5,5,5,5,5,5,5,5,5,5,5,5
"ag182",5,5,5,5,5,5,5,5,5,5,5,5
"ag183",5,5,5,5,5,5,5,5,5,5,5,5
"ag184",5,5,5,5,5,5,5,5,5,5,5,5
"ag185",5,5,5,5,5,5,5,5,5,5,5,5
"ag186",5,5,5,5,5,5,5,5,5,5,5,5
"ag188",5,5,5,5,5,5,5,5,5,5,5,5
"ag189",5,5,5,5,5,5,5,5,5,5,5,5
"ag191",5,5,5,5,5,5,5,5,5,5,5,5
"ag192",5,5,5,5,5,5,5,5,5,5,5,5
"ag193",5,5,5,5,5,5,5,5,5,5,5,5
"ag194",5,5,5,5,5,5,5,5,5,5,5,5
"ag195",5,5,5,5,5,5,5,5,5,5,5,5
"ag196",0,5,5,5,5,5,5,5,5,5,5,5
"ag197",5,5,5,5,5,5,5,5,5,5,5,5
