"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag141",0,0,0,0,0,0,0,0,19,19,19,19
"ag142",0,0,0,0,0,0,0,4,4,4,4,4
"ag143",0,0,0,0,0,0,0,7,7,7,7,7
"ag144",0,0,0,0,0,0,0,0,0,0,8,8
"ag145",0,0,0,0,0,0,0,15,15,15,15,15
"ag147",0,0,0,0,0,0,0,0,0,15,15,15
"ag148",0,0,0,0,0,0,0,0,0,0,12,12
"ag149",0,0,0,0,0,0,0,0,7,7,7,7
"ag151",0,0,0,0,0,0,0,0,0,0,0,9
"ag152",0,0,0,0,0,0,0,0,0,13,13,13
"ag153",0,0,0,0,0,0,0,0,0,7,7,7
"ag154",0,0,0,0,0,0,0,0,0,0,0,9
"ag155",0,0,0,0,0,0,0,0,0,0,0,4
"ag156",0,0,0,0,0,0,0,0,11,11,11,11
"ag157",0,0,0,0,0,0,0,0,11,11,11,11
"ag159",0,0,0,0,0,0,0,0,0,12,12,12
"ag160",0,0,0,0,0,0,0,9,9,9,9,9
"ag161",0,0,0,0,0,0,0,4,4,4,4,4
"ag162",0,0,0,0,0,0,0,0,0,5,5,5
"ag163",0,0,0,0,0,0,0,0,4,4,4,4
"ag164",0,0,0,0,0,0,0,0,0,0,6,6
"ag165",0,0,0,0,0,0,0,0,0,0,4,4
"ag166",0,0,0,0,0,0,0,0,0,0,18,18
"ag167",0,0,0,0,0,0,0,0,0,0,8,8
"ag168",0,0,0,0,0,0,0,4,4,4,4,4
"ag169",0,0,0,0,0,0,0,4,4,4,4,4
"ag170",0,0,0,0,0,0,0,8,8,8,8,8
"ag171",0,0,0,0,0,0,0,0,0,3,3,3
"ag172",0,0,0,0,0,0,0,0,0,0,6,6
"ag173",0,0,0,0,0,0,0,0,0,0,10,10
"ag174",0,0,0,0,0,0,0,0,0,0,0,6
"ag175",0,0,0,0,0,0,0,0,10,10,10,10
"ag176",0,0,0,0,0,0,0,3,3,3,3,3
"ag177",0,0,0,0,0,0,0,0,0,4,4,4
"ag178",0,0,0,0,0,0,0,0,0,0,6,6
"ag179",0,0,0,0,0,0,0,0,0,0,0,6
"ag180",0,0,0,0,0,0,0,0,0,0,5,5
"ag181",0,0,0,0,0,0,0,12,12,12,12,12
"ag182",0,0,0,0,0,0,0,0,0,0,0,9
"ag183",0,0,0,0,0,0,0,0,0,0,9,9
"ag184",0,0,0,0,0,0,0,0,4,4,4,4
"ag185",0,0,0,0,0,0,0,0,10,10,10,10
"ag186",0,0,0,0,0,0,0,0,0,4,4,4
"ag188",0,0,0,0,0,0,0,0,8,8,8,8
"ag189",0,0,0,0,0,0,0,0,9,9,9,9
"ag191",0,0,0,0,0,0,0,17,17,17,17,17
"ag192",0,0,0,0,0,0,0,0,0,0,8,8
"ag193",0,0,0,0,0,0,0,0,0,0,11,11
"ag194",0,0,0,0,0,0,0,0,0,0,7,7
"ag195",0,0,0,0,0,0,0,7,7,7,7,7
"ag196",0,0,0,0,0,0,0,0,0,0,0,0
"ag197",0,0,0,0,0,0,0,0,0,9,9,9
"ag198",0,0,0,0,0,0,0,0,0,0,0,9
"ag199",0,0,0,0,0,0,0,0,0,0,10,10
