"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag047",0,0,0,0,0,0,0,0,0,0,7,7
"ag048",0,0,0,0,0,0,0,4,4,4,4,4
"ag049",0,0,0,0,0,0,0,0,0,0,7,7
"ag050",0,0,0,0,0,0,0,4,4,4,4,4
"ag051",0,0,0,0,0,0,0,3,3,3,3,3
"ag052",0,0,0,0,0,0,0,0,0,10,10,10
"ag053",0,0,0,0,0,0,0,6,6,6,6,6
"ag054",0,0,0,0,0,0,0,6,6,6,6,6
"ag055",0,0,0,0,0,0,0,0,0,0,18,18
"ag056",0,0,0,0,0,0,0,0,0,0,15,15
"ag058",0,0,0,0,0,0,0,0,0,17,17,17
"ag059",0,0,0,0,0,0,0,0,0,0,9,9
"ag060",0,0,0,0,0,0,0,0,0,0,6,6
"ag062",0,0,0,0,0,0,0,0,0,0,12,12
"ag063",0,0,0,0,0,0,0,2,2,2,2,2
"ag064",0,0,0,0,0,0,0,4,4,4,4,4
"ag065",0,0,0,0,0,0,0,0,0,0,9,9
"ag066",0,0,0,0,0,0,0,3,3,3,3,3
"ag067",0,0,0,0,0,0,0,0,0,0,12,12
"ag068",0,0,0,0,0,0,0,8,8,8,8,8
"ag069",0,0,0,0,0,0,0,0,0,0,10,10
"ag070",0,0,0,0,0,0,0,0,0,0,15,15
"ag071",0,0,0,0,0,0,0,5,5,5,5,5
"ag072",0,0,0,0,0,0,0,3,3,3,3,3
"ag073",0,0,0,0,0,0,0,6,6,6,6,6
"ag074",0,0,0,0,0,0,0,5,5,5,5,5
"ag075",0,0,0,0,0,0,0,0,0,0,25,25
"ag076",0,0,0,0,0,0,0,5,5,5,5,5
"ag077",0,0,0,0,0,0,0,4,4,4,4,4
"ag078",0,0,0,0,0,0,0,0,0,0,9,9
"ag080",0,0,0,0,0,0,0,0,0,9,9,9
"ag081",0,0,0,0,0,0,0,0,0,0,6,6
"ag082",0,0,0,0,0,0,0,0,0,14,14,14
"ag083",0,0,0,0,0,0,0,0,0,5,5,5
"ag084",0,0,0,0,0,0,0,0,0,0,15,15
"ag085",0,0,0,0,0,0,0,6,6,6,6,6
"ag086",0,0,0,0,0,0,0,0,0,0,7,7
"ag087",0,0,0,0,0,0,0,4,4,4,4,4
"ag088",0,0,0,0,0,0,0,0,0,0,5,5
"ag089",0,0,0,0,0,0,0,0,0,0,16,16
"ag090",0,0,0,0,0,0,0,3,3,3,3,3
"ag093",0,0,0,0,0,0,0,4,4,4,4,4
"ag094",0,0,0,0,0,0,0,2,2,2,2,2
"ag095",0,0,0,0,0,0,0,0,0,0,13,13
"ag096",0,0,0,0,0,0,0,0,0,0,0,15
"ag098",0,0,0,0,0,0,0,5,5,5,5,5
"ag099",0,0,0,0,0,0,0,5,5,5,5,5
"ag100",0,0,0,0,0,0,0,5,5,5,5,5
"ag101",0,0,0,0,0,0,0,5,5,5,5,5
"ag102",0,0,0,0,0,0,0,0,0,0,0,11
"ag104",0,0,0,0,0,0,0,0,0,0,0,28
"ag105",0,0,0,0,0,0,0,6,6,6,6,6
"ag106",0,0,0,0,0,0,0,0,0,0,6,6
"ag107",0,0,0,0,0,0,0,6,6,6,6,6
"ag108",0,0,0,0,0,0,0,0,0,0,7,7
"ag109",0,0,0,0,0,0,0,0,0,0,0,24
"ag110",0,0,0,0,0,0,0,6,6,6,6,6
"ag111",0,0,0,0,0,0,0,3,3,3,3,3
"ag112",0,0,0,0,0,0,0,0,0,6,6,6
"ag113",0,0,0,0,0,0,0,0,0,0,10,10
"ag114",0,0,0,0,0,0,0,0,0,15,15,15
"ag117",0,0,0,0,0,0,0,3,3,3,3,3
"ag118",0,0,0,0,0,0,0,0,0,0,9,9
"ag119",0,0,0,0,0,0,0,0,0,0,8,8
"ag120",0,0,0,0,0,0,0,4,4,4,4,4
"ag122",0,0,0,0,0,0,0,6,6,6,6,6
"ag123",0,0,0,0,0,0,0,4,4,4,4,4
"ag124",0,0,0,0,0,0,0,0,0,0,7,7
"ag125",0,0,0,0,0,0,0,0,0,0,10,10
"ag126",0,0,0,0,0,0,0,0,0,0,6,6
"ag127",0,0,0,0,0,0,0,0,0,0,7,7
"ag128",0,0,0,0,0,0,0,4,4,4,4,4
"ag129",0,0,0,0,0,0,0,0,0,0,9,9
"ag130",0,0,0,0,0,0,0,5,5,5,5,5
"ag131",0,0,0,0,0,0,0,1,1,1,1,1
"ag132",0,0,0,0,0,0,0,5,5,5,5,5
"ag133",0,0,0,0,0,0,0,4,4,4,4,4
"ag134",0,0,0,0,0,0,0,0,0,0,15,15
"ag136",0,0,0,0,0,0,0,0,7,7,7,7
"ag137",0,0,0,0,0,0,0,0,0,0,7,7
"ag139",0,0,0,0,0,0,0,0,0,0,16,16
"ag140",0,0,0,0,0,0,0,1,1,1,1,1
"ag141",0,0,0,0,0,0,0,0,0,0,23,23
"ag142",0,0,0,0,0,0,0,5,5,5,5,5
"ag143",0,0,0,0,0,0,0,0,0,0,9,9
"ag144",0,0,0,0,0,0,0,0,0,0,8,8
"ag145",0,0,0,0,0,0,0,0,0,0,21,21
"ag147",0,0,0,0,0,0,0,0,0,0,19,19
"ag148",0,0,0,0,0,0,0,6,6,6,6,6
"ag149",0,0,0,0,0,0,0,0,0,10,10,10
"ag151",0,0,0,0,0,0,0,5,5,5,5,5
"ag152",0,0,0,0,0,0,0,0,0,0,0,17
"ag153",0,0,0,0,0,0,0,6,6,6,6,6
"ag154",0,0,0,0,0,0,0,6,6,6,6,6
"ag155",0,0,0,0,0,0,0,3,3,3,3,3
"ag156",0,0,0,0,0,0,0,0,7,7,7,7
"ag157",0,0,0,0,0,0,0,0,0,0,0,15
"ag159",0,0,0,0,0,0,0,0,0,0,14,14
"ag160",0,0,0,0,0,0,0,0,0,0,11,11
"ag161",0,0,0,0,0,0,0,0,0,0,5,5
"ag162",0,0,0,0,0,0,0,4,4,4,4,4
"ag163",0,0,0,0,0,0,0,3,3,3,3,3
"ag164",0,0,0,0,0,0,0,4,4,4,4,4
"ag165",0,0,0,0,0,0,0,3,3,3,3,3
"ag166",0,0,0,0,0,0,0,16,16,16,16,16
"ag167",0,0,0,0,0,0,0,5,5,5,5,5
"ag168",0,0,0,0,0,0,0,4,4,4,4,4
"ag169",0,0,0,0,0,0,0,5,5,5,5,5
"ag170",0,0,0,0,0,0,0,0,0,0,10,10
"ag171",0,0,0,0,0,0,0,2,2,2,2,2
"ag172",0,0,0,0,0,0,0,4,4,4,4,4
"ag173",0,0,0,0,0,0,0,0,0,0,9,9
"ag174",0,0,0,0,0,0,0,3,3,3,3,3
"ag175",0,0,0,0,0,0,0,0,0,9,9,9
"ag176",0,0,0,0,0,0,0,0,0,0,6,6
"ag177",0,0,0,0,0,0,0,3,3,3,3,3
"ag178",0,0,0,0,0,0,0,5,5,5,5,5
"ag179",0,0,0,0,0,0,0,4,4,4,4,4
"ag180",0,0,0,0,0,0,0,4,4,4,4,4
"ag181",0,0,0,0,0,0,0,0,0,0,17,17
"ag182",0,0,0,0,0,0,0,7,7,7,7,7
"ag183",0,0,0,0,0,0,0,5,5,5,5,5
"ag184",0,0,0,0,0,0,0,0,0,0,5,5
"ag185",0,0,0,0,0,0,0,0,0,0,14,14
"ag186",0,0,0,0,0,0,0,4,4,4,4,4
"ag188",0,0,0,0,0,0,0,0,0,0,9,9
"ag189",0,0,0,0,0,0,0,0,0,9,9,9
"ag191",0,0,0,0,0,0,0,0,0,0,23,23
"ag192",0,0,0,0,0,0,0,3,3,3,3,3
"ag193",0,0,0,0,0,0,0,6,6,6,6,6
"ag194",0,0,0,0,0,0,0,5,5,5,5,5
"ag195",0,0,0,0,0,0,0,5,5,5,5,5
"ag196",0,0,0,0,0,0,0,1,1,1,1,1
"ag197",0,0,0,0,0,0,0,6,6,6,6,6
"ag198",0,0,0,0,0,0,0,4,4,4,4,4
"ag199",0,0,0,0,0,0,0,6,6,6,6,6
"ag200",0,0,0,0,0,0,0,3,3,3,3,3
"ag201",0,0,0,0,0,0,0,6,6,6,6,6
"ag202",0,0,0,0,0,0,0,0,0,0,4,4
"ag204",0,0,0,0,0,0,0,0,0,0,8,8
"ag205",0,0,0,0,0,0,0,0,0,0,5,5
"ag206",0,0,0,0,0,0,0,8,8,8,8,8
"ag207",0,0,0,0,0,0,0,0,0,0,15,15
"ag208",0,0,0,0,0,0,0,5,5,5,5,5
"ag209",0,0,0,0,0,0,0,6,6,6,6,6
"ag210",0,0,0,0,0,0,0,6,6,6,6,6
"ag211",0,0,0,0,0,0,0,3,3,3,3,3
"ag212",0,0,0,0,0,0,0,0,0,0,18,18
"ag213",0,0,0,0,0,0,0,6,6,6,6,6
"ag214",0,0,0,0,0,0,0,0,0,0,5,5
"ag215",0,0,0,0,0,0,0,2,2,2,2,2
"ag216",0,0,0,0,0,0,0,5,5,5,5,5
"ag217",0,0,0,0,0,0,0,5,5,5,5,5
"ag218",0,0,0,0,0,0,0,0,0,0,5,5
