"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Total_kWp",1000,1011,1011,1011,1011,1011,1011,1295,1302.5,1340,1476,1534.5
"ag003",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5
"ag004",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag005",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag010",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag012",5,5,5,5,5,5,5,5,5,5,5,5
"ag013",3,3,3,3,3,3,3,5,5,5,5,5
"ag014",4,4,4,4,4,4,4,5,5,5,5,5
"ag015",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag016",3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5
"ag017",5,5,5,5,5,5,5,5,5,5,12,12
"ag018",3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5
"ag019",4,4,4,4,4,4,4,5,5,5,5,5
"ag020",5,5,5,5,5,5,5,5,5,5,5,5
"ag021",3,3,3,3,3,3,3,5,5,5,5,5
"ag023",5,5,5,5,5,5,5,5,5,5,5,5
"ag025",5,5,5,5,5,5,5,5,5,5,5,5
"ag027",2,2,2,2,2,2,2,5,5,5,5,5
"ag028",3,3,3,3,3,3,3,5,5,5,5,5
"ag029",3,3,3,3,3,3,3,5,5,5,5,5
"ag030",3,3,3,3,3,3,3,5,5,5,5,5
"ag031",3,3,3,3,3,3,3,5,5,5,5,5
"ag032",3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5
"ag033",5,5,5,5,5,5,5,5,5,5,9.5,9.5
"ag034",5,5,5,5,5,5,5,5,5,5,5,5
"ag035",5,5,5,5,5,5,5,5,5,5,9.5,9.5
"ag036",2,2,2,2,2,2,2,5,5,5,5,5
"ag037",5,5,5,5,5,5,5,5,5,5,5,5
"ag038",5,5,5,5,5,5,5,5,5,5,5,5
"ag039",5,5,5,5,5,5,5,5,5,5,5,5
"ag040",2,2,2,2,2,2,2,5,5,5,5,5
"ag042",4,4,4,4,4,4,4,5,5,5,5,5
"ag043",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag044",2,2,2,2,2,2,2,5,5,5,5,5
"ag045",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag046",5,5,5,5,5,5,5,5,5,9,9,9
"ag047",5,5,5,5,5,5,5,5,5,5,5,5
"ag048",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag049",5,5,5,5,5,5,5,5,5,5,5,5
"ag050",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag051",3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5
"ag052",5,5,5,5,5,5,5,5,5,5,5,5
"ag053",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag054",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5
"ag055",5,5,5,5,5,5,5,5,5,5,9,9
"ag056",5,5,5,5,5,5,5,5,5,5,11,11
"ag058",5,5,5,5,5,5,5,5,5,9,9,9
"ag059",5,5,5,5,5,5,5,5,5,5,5,5
"ag060",5,5,5,5,5,5,5,5,5,5,5,5
"ag062",5,5,5,5,5,5,5,5,5,5,9.5,9.5
"ag063",3,3,3,3,3,3,3,5,5,5,5,5
"ag064",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag065",5,5,5,5,5,5,5,5,5,5,5,5
"ag066",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag067",5,5,5,5,5,5,5,5,5,5,5,5
"ag068",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag069",5,5,5,5,5,5,5,5,5,5,5,5
"ag070",5,5,5,5,5,5,5,5,5,5,8.5,8.5
"ag071",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5
"ag072",3,3,3,3,3,3,3,5,5,5,5,5
"ag073",4,4,4,4,4,4,4,5,5,5,5,5
"ag074",4,4,4,4,4,4,4,5,5,5,5,5
"ag075",5,5,5,5,5,5,5,5,5,5,9.5,9.5
"ag076",2,2,2,2,2,2,2,5,5,5,5,5
"ag077",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5
"ag078",5,5,5,5,5,5,5,5,5,5,5,5
"ag080",5,5,5,5,5,5,5,5,5,5,5,5
"ag081",0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5
"ag082",5,5,5,5,5,5,5,5,5,9.5,9.5,9.5
"ag083",0,3,3,3,3,3,3,3,3,5,5,5
"ag084",5,5,5,5,5,5,5,5,5,5,9.5,9.5
"ag085",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag086",5,5,5,5,5,5,5,5,5,5,5,5
"ag087",3,3,3,3,3,3,3,5,5,5,5,5
"ag088",5,5,5,5,5,5,5,5,5,5,5,5
"ag089",5,5,5,5,5,5,5,5,5,5,8.5,8.5
"ag090",3,3,3,3,3,3,3,5,5,5,5,5
"ag093",3,3,3,3,3,3,3,5,5,5,5,5
"ag094",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5
"ag095",5,5,5,5,5,5,5,5,5,5,5,5
"ag096",5,5,5,5,5,5,5,5,5,5,5,13.5
"ag098",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5
"ag099",2,2,2,2,2,2,2,5,5,5,5,5
"ag100",4,4,4,4,4,4,4,5,5,5,5,5
"ag101",3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5
"ag102",5,5,5,5,5,5,5,5,5,5,5,9.5
"ag104",5,5,5,5,5,5,5,5,5,5,5,15.5
"ag105",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag106",5,5,5,5,5,5,5,5,5,5,5,5
"ag107",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5
"ag108",5,5,5,5,5,5,5,5,5,5,5,5
"ag109",5,5,5,5,5,5,5,5,5,5,5,16
"ag110",3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5
"ag111",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag112",5,5,5,5,5,5,5,5,5,5,5,5
"ag113",5,5,5,5,5,5,5,5,5,5,5,5
"ag114",5,5,5,5,5,5,5,5,5,9,9,9
"ag117",2,2,2,2,2,2,2,5,5,5,5,5
"ag118",5,5,5,5,5,5,5,5,5,5,5,5
"ag119",5,5,5,5,5,5,5,5,5,5,5,5
"ag120",4,4,4,4,4,4,4,5,5,5,5,5
"ag122",3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5
"ag123",3,3,3,3,3,3,3,5,5,5,5,5
"ag124",5,5,5,5,5,5,5,5,5,5,5,5
"ag125",5,5,5,5,5,5,5,5,5,5,5,5
"ag126",5,5,5,5,5,5,5,5,5,5,5,5
"ag127",5,5,5,5,5,5,5,5,5,5,5,5
"ag128",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5
"ag129",5,5,5,5,5,5,5,5,5,5,5,5
"ag130",4,4,4,4,4,4,4,5,5,5,5,5
"ag131",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5
"ag132",2,2,2,2,2,2,2,5,5,5,5,5
"ag133",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag134",5,5,5,5,5,5,5,5,5,5,9.5,9.5
"ag136",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5
"ag137",5,5,5,5,5,5,5,5,5,5,5,5
"ag139",5,5,5,5,5,5,5,5,5,5,9,9
"ag140",2,2,2,2,2,2,2,5,5,5,5,5
"ag141",5,5,5,5,5,5,5,5,5,5,12,12
"ag142",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5
"ag143",5,5,5,5,5,5,5,5,5,5,5,5
"ag144",5,5,5,5,5,5,5,5,5,5,5,5
"ag145",5,5,5,5,5,5,5,5,5,5,8.5,8.5
"ag147",5,5,5,5,5,5,5,5,5,5,10,10
"ag148",4,4,4,4,4,4,4,5,5,5,5,5
"ag149",5,5,5,5,5,5,5,5,5,8.5,8.5,8.5
"ag151",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag152",5,5,5,5,5,5,5,5,5,5,5,14
"ag153",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5
"ag154",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag155",2,2,2,2,2,2,2,5,5,5,5,5
"ag156",5,5,5,5,5,5,5,5,5,5,5,5
"ag157",5,5,5,5,5,5,5,5,5,5,5,9.5
"ag159",5,5,5,5,5,5,5,5,5,5,9.5,9.5
"ag160",5,5,5,5,5,5,5,5,5,5,5,5
"ag161",5,5,5,5,5,5,5,5,5,5,5,5
"ag162",3,3,3,3,3,3,3,5,5,5,5,5
"ag163",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag164",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag165",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag166",4,4,4,4,4,4,4,11.5,11.5,11.5,11.5,11.5
