"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag095",1,1,1,1,1,1,1,5.5,5.5,5.5,5.5,5.5
"ag096",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,10.5,10.5,10.5,10.5
"ag098",2,2,2,2,2,2,2,7.5,7.5,7.5,7.5,7.5
"ag099",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag100",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5
"ag101",1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5
"ag102",3,3,3,3,3,3,3,8,8,8,8,8
"ag104",2.5,2.5,2.5,2.5,2.5,2.5,2.5,12.5,12.5,12.5,12.5,12.5
"ag105",1,1,1,1,1,1,1,5,5,5,5,5
"ag106",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,4.5,4.5,4.5
"ag107",2,2,2,2,2,2,2,5.5,5.5,5.5,5.5,5.5
"ag108",1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5
"ag109",3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,14,14,14,14
"ag110",1,1,1,1,1,1,1,1,4.5,4.5,4.5,4.5
"ag111",1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5
"ag112",1,1,1,1,1,1,1,1,5.5,5.5,5.5,5.5
"ag113",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5
"ag114",3,3,3,3,3,3,3,8,8,8,8,8
"ag117",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag118",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5
"ag119",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag120",1,1,1,1,1,1,1,1,4,4,4,4
"ag122",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6,6,6
"ag123",0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5
"ag124",1,1,1,1,1,1,1,4,4,4,4,4
"ag125",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,6.5,6.5,6.5,6.5
"ag126",1,1,1,1,1,1,1,1,3,3,3,3
"ag127",1.5,1.5,1.5,1.5,1.5,1.5,1.5,4,4,4,4,4
"ag128",2.5,2.5,2.5,2.5,2.5,2.5,5.5,5.5,5.5,5.5,5.5,7
"ag129",1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6,6,6,6
"ag130",1,1,1,1,1,1,1,1,1,4.5,4.5,4.5
"ag131",2.5,2.5,2.5,2.5,2.5,2.5,2.5,11,11,11,11,11
"ag132",1,1,1,1,1,1,1,1,1,4,4,4
"ag133",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5
"ag134",1.5,1.5,1.5,1.5,1.5,1.5,1.5,7,7,7,7,7
"ag136",1,1,1,1,1,1,1,1,1,1,4,4
"ag137",3,3,3,3,3,3,3,6.5,6.5,6.5,6.5,6.5
"ag139",2.5,2.5,2.5,2.5,2.5,2.5,2.5,8,8,8,8,8
"ag140",0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5
"ag141",4,4,4,4,4,4,4,10.5,10.5,10.5,10.5,10.5
"ag142",1,1,1,1,1,1,1,1,1,4,4,4
"ag143",2,2,2,2,2,2,2,2,6.5,6.5,6.5,6.5
"ag144",1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5
"ag145",1.5,1.5,1.5,1.5,1.5,1.5,1.5,7,7,7,7,7
"ag147",3,3,3,3,3,3,3,3,9,9,9,9
"ag148",1,1,1,1,1,1,1,5.5,5.5,5.5,5.5,5.5
"ag149",3.5,3.5,3.5,3.5,3.5,3.5,3.5,7.5,7.5,7.5,7.5,7.5
"ag151",1,1,1,1,1,1,1,1,1,5,5,5
"ag152",3,3,3,3,3,3,3,11,11,11,11,11
"ag153",0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3
"ag154",1,1,1,1,1,1,1,1,1,5,5,5
"ag155",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag156",2,2,2,2,2,2,6,6,6,6,6,8
"ag157",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,8,8,8,8
"ag159",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,8.5,8.5,8.5,8.5
"ag160",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6.5,6.5,6.5,6.5
"ag161",2,2,2,2,2,2,2,7,7,7,7,7
"ag162",1,1,1,1,1,1,1,1,1,3,3,3
"ag163",1,1,1,1,1,1,1,1,1,2.5,2.5,2.5
"ag164",1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5
"ag165",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3
"ag166",2,2,2,2,2,2,2,11.5,11.5,11.5,11.5,11.5
"ag167",1,1,1,1,1,1,1,4,4,4,4,4
"ag168",1,1,1,1,1,1,1,1,1,3,3,3
"ag169",1,1,1,1,1,1,1,1,1,3,3,3
"ag170",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5
"ag171",1,1,1,1,1,1,1,1,1,3,3,3
"ag172",1,1,1,1,1,1,1,1,4,4,4,4
"ag173",1,1,1,1,1,1,1,4,4,4,4,4
"ag174",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,3.5,3.5,3.5
"ag175",1.5,1.5,1.5,1.5,1.5,1.5,1.5,7,7,7,7,7
"ag176",1,1,1,1,1,1,1,1,4,4,4,4
"ag177",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4,4,4
"ag178",1,1,1,1,1,1,1,1,1,3,3,3
"ag179",1,1,1,1,1,1,1,1,4,4,4,4
"ag180",0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3
"ag181",2,2,2,2,2,2,2,7,7,7,7,7
"ag182",1,1,1,1,1,1,1,1,1,4,4,4
"ag183",1,1,1,1,1,1,1,5,5,5,5,5
"ag184",1,1,1,1,1,1,1,1,3,3,3,3
"ag185",3,3,3,3,3,3,3,6.5,6.5,6.5,6.5,6.5
"ag186",1,1,1,1,1,1,1,1,1,3,3,3
"ag188",1,1,1,1,1,1,1,1,1,4.5,4.5,4.5
"ag189",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag191",2.5,2.5,2.5,2.5,2.5,2.5,2.5,10,10,10,10,10
"ag192",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5
"ag193",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5
"ag194",1,1,1,1,1,1,1,1,4.5,4.5,4.5,4.5
"ag195",2,2,2,2,2,2,2,2,7,7,7,7
"ag196",1,1,1,1,1,1,1,1,1,5,5,5
"ag197",1,1,1,1,1,1,1,4.5,4.5,4.5,4.5,4.5
"ag198",1,1,1,1,1,1,1,1,1,4.5,4.5,4.5
"ag199",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5
"ag200",2,2,2,2,2,2,2,2,2,9,9,9
"ag201",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6,6
"ag202",0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2,2,2
"ag204",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,4.5,4.5,4.5
"ag205",1,1,1,1,1,1,1,1,3,3,3,3
"ag206",1,1,1,1,1,1,1,1,1,6.5,6.5,6.5
"ag207",2.5,2.5,2.5,2.5,2.5,2.5,2.5,7.5,7.5,7.5,7.5,7.5
"ag208",1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5
"ag209",1,1,1,1,1,1,1,1,5,5,5,5
"ag210",1,1,1,1,1,1,1,1,4,4,4,4
"ag211",1,1,1,1,1,1,1,3,3,3,3,3
"ag212",2.5,2.5,2.5,2.5,2.5,2.5,2.5,8,8,8,8,8
"ag213",1,1,1,1,1,1,1,4,4,4,4,4
"ag214",1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5
"ag215",1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5
"ag216",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag217",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5
"ag218",1,1,1,1,1,1,1,1,2.5,2.5,2.5,2.5
"ag219",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag220",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5
"ag222",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6.5,6.5,6.5
"ag223",0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5
"ag224",0,0,1,1,1,1,1,3,3,3,3,3
"ag225",1,1,1,1,1,1,1,4,4,4,4,4
"ag226",1,1,1,1,1,1,1,1,4,4,4,4
"ag227",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3
"ag228",5.5,5.5,5.5,5.5,5.5,5.5,5.5,12,12,12,12,12
"ag230",2,2,2,2,2,2,2,2,6.5,6.5,6.5,6.5
"ag232",0,1,1,1,1,1,1,1,1,1,6.5,6.5
"ag233",1,1,1,1,1,1,1,1,3,3,3,3
"ag235",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3
"ag236",0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,3.5,3.5,3.5,3.5
"ag237",1,1,1,1,1,1,1,1,1,1,4,4
"ag238",2,2,2,2,2,2,2,2,5.5,5.5,5.5,5.5
"ag239",1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5
"ag240",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,3.5
"ag241",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,3.5
"ag242",2.5,2.5,2.5,2.5,2.5,2.5,2.5,6.5,6.5,6.5,6.5,6.5
"ag243",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag244",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5
"ag245",1,1,1,1,1,1,1,1,1,2.5,2.5,2.5
"ag246",1,1,1,1,1,1,1,6,6,6,6,6
"ag247",1,1,1,1,1,1,1,1,1,1,4,4
"ag248",2,2,2,2,2,2,2,2,8.5,8.5,8.5,8.5
"ag250",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5
"ag251",1,1,1,1,1,1,1,1,1,1,9,9
"ag253",3,3,3,3,3,3,3,3,10,10,10,10
"ag254",2,2,2,2,2,2,2,2,8,8,8,8
"ag255",3.5,3.5,3.5,3.5,3.5,3.5,3.5,12,12,12,12,12
"ag256",2,2,2,2,2,2,2,2,8,8,8,8
"ag257",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5
"ag258",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,4.5,4.5
"ag259",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
"ag260",0,1,1,1,1,1,1,1,1,1,1,3.5
"ag261",1,1,1,1,1,1,1,1,1,3,3,3
"ag262",2,2,2,2,2,2,2,2,2,8.5,8.5,8.5
"ag263",0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3
