"Year","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037"
"Total_kWp",178,225.5,267,274.5,278,278,281.5,441,648,749,921,1076.5,1160,1293,1396.5,1437.5,1524.5,1620,1705,1791
"ag003",0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2
"ag004",0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3,4,4,4
"ag005",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,4,4,4,4,4,4
"ag010",0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,3.5
"ag012",1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,6.5,6.5,6.5,6.5
"ag013",0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,4.5,4.5,4.5
"ag014",1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,5,5,5,5
"ag015",0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3
"ag016",0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,7.5,7.5,7.5,7.5,7.5,7.5,10.5,10.5
"ag017",0,2,2,2,2,2,2,2,8,8,8,8,8,8,12,12,12,12,12,15
"ag018",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3,3,4.5,4.5,4.5,4.5,4.5,4.5
"ag019",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5
"ag020",1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,9.5,9.5,9.5,9.5
"ag021",0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,10.5,10.5,10.5,10.5,10.5,10.5,13.5,13.5,13.5
"ag023",1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,4,4,4,4,4
