"Year","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037"
"ag083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17
"ag085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7
"ag086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22
"ag090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"ag095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19
"ag096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"ag098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20
"ag099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13
"ag101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
"ag104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32
"ag105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12
"ag106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10
"ag108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27
"ag110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
"ag111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5
"ag113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15
"ag114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19
"ag117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13
"ag119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11
"ag120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
"ag122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11
"ag123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6
"ag125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15
"ag126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10
"ag129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15
"ag130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6
"ag131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"ag132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5
"ag134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25
"ag136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
"ag137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
"ag139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19
"ag140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ag141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,27
"ag142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
"ag143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15
"ag144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
"ag145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24
"ag147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27
"ag148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18
"ag149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14
"ag151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
"ag152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21
"ag153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
"ag155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7
"ag157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
"ag159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16
"ag160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20
"ag161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10
"ag162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
"ag163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
"ag166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23
"ag167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"ag168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14
"ag171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
