"Year","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037"
"ag047",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
"ag048",0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"ag049",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"ag050",0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"ag051",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"ag052",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"ag053",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"ag054",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
"ag055",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
"ag056",0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,13,13
"ag058",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10
"ag059",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
"ag060",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"ag062",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5
"ag063",0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,13
"ag064",0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"ag065",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
"ag066",0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"ag067",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
"ag068",0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9.5,9.5,9.5
