"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Total_kWp",290,409,454.5,466.5,476.5,481,487.5,824,944.5,1099.5,1257,1332.5
"ag003",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,5,5
"ag004",1,1,1,1,1,1,1,1,5,5,5,5
"ag005",0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5
"ag010",0,0,0,1,1,1,1,1,1,1,1,5
"ag012",2,2,2,2,2,2,2,5,5,5,5,5
"ag013",0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5
"ag014",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5
"ag015",0,0,1,1,1,1,1,1,1,1,1,5
"ag016",0,0,2,2,2,2,2,2,2,2,5,5
"ag017",0,4,4,4,4,4,4,4,4,9,9,9
"ag018",0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5
"ag019",1,1,1,1,1,1,1,1,5,5,5,5
"ag020",2,2,2,2,2,2,2,5,5,5,5,5
"ag021",0,0,2,2,2,2,2,2,2,2,10,10
"ag023",2,2,2,2,2,2,2,2,5,5,5,5
"ag025",0,5,5,5,5,5,5,5,5,5,5,5
"ag027",0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5
"ag028",1,1,1,1,1,1,1,5,5,5,5,5
"ag029",0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5
"ag030",0,0,1,1,1,1,1,1,1,1,5,5
"ag031",1,1,1,1,1,1,1,5,5,5,5,5
"ag032",0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5
"ag033",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag034",2,2,2,2,2,2,2,5,5,5,5,5
"ag035",3,3,3,3,3,3,3,5,5,5,5,5
"ag036",0,1,1,1,1,1,1,1,1,1,5,5
"ag037",2,2,2,2,2,2,2,2,5,5,5,5
"ag038",2,2,2,2,2,2,2,5,5,5,5,5
"ag039",2,2,2,2,2,2,2,5,5,5,5,5
"ag040",0,1,1,1,1,1,1,1,1,1,5,5
"ag042",2,2,2,2,2,2,2,5,5,5,5,5
"ag043",0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5
"ag044",0,1,1,1,1,1,1,1,1,5,5,5
"ag045",0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
"ag046",3,3,3,3,3,3,3,5,5,5,5,5
"ag047",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
