"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Total_kWp",159.5,226.5,255,262,269.5,273.5,277,432,572,814,1031,1111
"ag003",0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5
"ag004",0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5
"ag005",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5
"ag010",0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5
"ag012",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5
"ag013",0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3
"ag014",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag015",0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"ag016",0,0,1,1,1,1,1,1,1,1,6.5,6.5
"ag017",0,2,2,2,2,2,2,2,2,8.5,8.5,8.5
"ag018",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,3.5,3.5
"ag019",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
"ag020",1,1,1,1,1,1,1,1,1,5,5,5
"ag021",0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,10.5
"ag023",1,1,1,1,1,1,1,1,1,3,3,3
"ag025",0,1,1,1,1,1,1,1,1,7,7,7
"ag027",0,0,1,1,1,1,1,1,1,1,1,5.5
"ag028",1,1,1,1,1,1,1,1,1,1,3.5,3.5
"ag029",0,1,1,1,1,1,1,1,1,1,1,3.5
"ag030",0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
"ag031",1,1,1,1,1,1,1,1,1,1,3.5,3.5
"ag032",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,3.5,3.5
"ag033",1,1,1,1,1,1,1,6,6,6,6,6
"ag034",1,1,1,1,1,1,1,1,4,4,4,4
"ag035",1.5,1.5,1.5,1.5,1.5,1.5,1.5,6.5,6.5,6.5,6.5,6.5
"ag036",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5
"ag037",1,1,1,1,1,1,1,3,3,3,3,3
"ag038",0,1,1,1,1,1,1,3,3,3,3,3
"ag039",1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5
"ag040",0,1,1,1,1,1,1,1,1,1,1,3
"ag042",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6.5,6.5
