"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag192",0,0,0,0,0,0,0,0,7,7,7,7
"ag193",0,0,0,0,0,0,0,0,10,10,10,10
"ag194",0,0,0,0,0,0,0,0,0,0,7,7
"ag195",0,0,0,0,0,0,0,0,0,11,11,11
"ag196",0,0,0,0,0,0,0,0,0,0,0,0
"ag197",0,0,0,0,0,0,0,0,0,0,10,10
"ag198",0,0,0,0,0,0,0,0,0,8,8,8
"ag199",0,0,0,0,0,0,0,8,8,8,8,8
"ag200",0,0,0,0,0,0,0,0,0,0,12,12
"ag201",0,0,0,0,0,0,0,0,0,12,12,12
"ag202",0,0,0,0,0,0,0,0,0,0,4,4
"ag204",0,0,0,0,0,0,0,0,0,9,9,9
"ag205",0,0,0,0,0,0,0,0,0,5,5,5
"ag206",0,0,0,0,0,0,0,0,0,0,15,15
"ag207",0,0,0,0,0,0,0,0,12,12,12,12
"ag208",0,0,0,0,0,0,0,0,0,0,7,7
"ag209",0,0,0,0,0,0,0,0,0,0,10,10
"ag210",0,0,0,0,0,0,0,0,0,0,8,8
"ag211",0,0,0,0,0,0,0,0,0,0,8,8
"ag212",0,0,0,0,0,0,0,0,16,16,16,16
"ag213",0,0,0,0,0,0,0,0,0,0,8,8
"ag214",0,0,0,0,0,0,0,0,0,0,6,6
"ag215",0,0,0,0,0,0,0,0,0,0,0,0
"ag216",0,0,0,0,0,0,0,0,0,0,8,8
"ag217",0,0,0,0,0,0,0,0,0,8,8,8
"ag218",0,0,0,0,0,0,0,0,0,5,5,5
"ag219",0,0,0,0,0,0,0,0,0,0,0,5
"ag220",0,0,0,0,0,0,0,0,9,9,9,9
"ag222",0,0,0,0,0,0,0,0,11,11,11,11
"ag223",0,0,0,0,1,1,1,1,1,1,1,7
"ag224",0,0,0,0,0,0,3,3,3,3,3,3
"ag225",0,0,0,0,0,0,0,0,0,0,0,8
"ag226",0,0,0,0,0,0,0,0,0,9,9,9
"ag227",0,0,0,0,0,0,0,0,0,0,0,0
"ag228",0,0,0,0,0,0,0,0,0,13,13,13
"ag230",0,0,0,0,0,0,0,0,0,12,12,12
"ag232",0,0,0,0,0,0,1,1,1,1,1,1
"ag233",0,0,0,0,0,0,0,0,0,0,6,6
"ag235",0,0,0,0,0,0,0,0,0,0,0,6
"ag236",0,0,0,0,0,0,0,0,0,0,11,11
"ag237",0,0,0,0,0,0,0,0,0,0,5,5
"ag238",0,0,0,0,0,0,0,0,0,10,10,10
"ag239",0,0,0,0,0,0,0,0,0,0,6,6
"ag240",0,0,0,0,0,0,0,0,0,0,0,0
"ag241",0,0,0,0,0,0,0,0,0,6,6,6
"ag242",0,0,0,0,0,0,0,8,8,8,8,8
"ag243",0,0,0,0,0,0,0,0,0,0,11,11
"ag244",0,0,0,0,0,0,0,0,0,9,9,9
"ag245",0,0,0,0,0,0,0,0,0,4,4,4
"ag246",0,0,0,0,0,0,0,14,14,14,14,14
"ag247",0,0,0,0,0,0,0,0,0,0,6,6
"ag248",0,0,0,0,0,0,0,0,0,18,18,18
"ag250",0,0,0,0,0,0,0,0,0,0,9,9
"ag251",0,0,0,0,0,0,0,0,0,0,0,0
"ag253",0,0,0,0,0,0,0,19,19,19,19,19
"ag254",0,0,0,0,0,0,0,11,11,11,11,11
"ag255",0,0,0,0,0,0,0,0,20,20,20,20
"ag256",0,0,0,0,0,0,0,16,16,16,16,16
"ag257",0,0,0,0,0,0,0,0,0,11,11,11
"ag258",0,0,0,0,0,0,0,0,0,0,0,5
