"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Total_kWh",0,0,0,0,0,0,4,655,862,1141,1461,1587
"ag003",0,0,0,0,0,0,0,0,0,2,2,2
"ag004",0,0,0,0,0,0,0,0,5,5,5,5
"ag005",0,0,0,0,0,0,0,0,0,0,0,6
"ag010",0,0,0,0,0,0,0,0,0,0,0,5
"ag012",0,0,0,0,0,0,0,7,7,7,7,7
"ag013",0,0,0,0,0,0,0,0,0,5,5,5
"ag014",0,0,0,0,0,0,0,0,6,6,6,6
"ag015",0,0,0,0,0,0,0,0,0,0,0,4
"ag016",0,0,0,0,0,0,0,0,0,0,7,7
"ag017",0,0,0,0,0,0,0,0,0,13,13,13
"ag018",0,0,0,0,0,0,0,0,0,6,6,6
"ag019",0,0,0,0,0,0,0,0,3,3,3,3
"ag020",0,0,0,0,0,0,0,5,5,5,5,5
"ag021",0,0,0,0,0,0,0,0,0,0,19,19
"ag023",0,0,0,0,0,0,0,0,5,5,5,5
"ag025",0,0,0,0,0,0,0,0,0,0,7,7
"ag027",0,0,0,0,0,0,0,0,0,0,8,8
"ag028",0,0,0,0,0,0,0,5,5,5,5,5
"ag029",0,0,0,0,0,0,0,0,0,5,5,5
"ag030",0,0,0,0,0,0,0,0,0,0,3,3
"ag031",0,0,0,0,0,0,0,3,3,3,3,3
"ag032",0,0,0,0,0,0,0,0,0,7,7,7
"ag033",0,0,0,0,0,0,0,7,7,7,7,7
"ag034",0,0,0,0,0,0,0,5,5,5,5,5
"ag035",0,0,0,0,0,0,0,5,5,5,5,5
"ag036",0,0,0,0,0,0,0,0,0,0,5,5
"ag037",0,0,0,0,0,0,0,0,5,5,5,5
"ag038",0,0,0,0,0,0,0,5,5,5,5,5
"ag039",0,0,0,0,0,0,0,4,4,4,4,4
"ag040",0,0,0,0,0,0,0,0,0,0,5,5
"ag042",0,0,0,0,0,0,0,4,4,4,4,4
"ag043",0,0,0,0,0,0,0,0,0,0,5,5
"ag044",0,0,0,0,0,0,0,0,0,4,4,4
"ag045",0,0,0,0,0,0,0,0,0,0,0,0
"ag046",0,0,0,0,0,0,0,4,4,4,4,4
"ag047",0,0,0,0,0,0,0,5,5,5,5,5
"ag048",0,0,0,0,0,0,0,0,0,0,0,6
"ag049",0,0,0,0,0,0,0,6,6,6,6,6
"ag050",0,0,0,0,0,0,0,0,0,5,5,5
"ag051",0,0,0,0,0,0,0,0,5,5,5,5
"ag052",0,0,0,0,0,0,0,0,0,10,10,10
"ag053",0,0,0,0,0,0,0,0,0,0,8,8
"ag054",0,0,0,0,0,0,0,6,6,6,6,6
"ag055",0,0,0,0,0,0,0,7,7,7,7,7
"ag056",0,0,0,0,0,0,0,0,0,14,14,14
"ag058",0,0,0,0,0,0,0,6,6,6,6,6
"ag059",0,0,0,0,0,0,0,7,7,7,7,7
"ag060",0,0,0,0,0,0,0,5,5,5,5,5
"ag062",0,0,0,0,0,0,0,0,0,0,11,11
"ag063",0,0,0,0,0,0,0,0,0,0,0,5
"ag064",0,0,0,0,0,0,0,0,0,0,6,6
"ag065",0,0,0,0,0,0,0,6,6,6,6,6
"ag066",0,0,0,0,0,0,0,0,0,0,0,6
"ag067",0,0,0,0,0,0,0,7,7,7,7,7
"ag068",0,0,0,0,0,0,0,0,0,0,12,12
"ag069",0,0,0,0,0,0,0,6,6,6,6,6
"ag070",0,0,0,0,0,0,0,0,8,8,8,8
"ag071",0,0,0,0,0,0,0,0,0,7,7,7
"ag072",0,0,0,0,0,0,0,0,0,0,0,5
"ag073",0,0,0,0,0,0,0,0,6,6,6,6
"ag074",0,0,0,0,0,0,0,5,5,5,5,5
"ag075",0,0,0,0,0,0,0,8,8,8,8,8
"ag076",0,0,0,0,0,0,0,0,0,7,7,7
"ag077",0,0,0,0,0,0,0,0,0,5,5,5
"ag078",0,0,0,0,0,0,0,7,7,7,7,7
"ag080",0,0,0,0,0,0,0,6,6,6,6,6
"ag081",0,0,0,0,0,0,1,1,1,1,1,1
"ag082",0,0,0,0,0,0,0,0,0,7,7,7
"ag083",0,0,0,0,0,0,3,3,3,3,3,3
"ag084",0,0,0,0,0,0,0,4,4,4,4,4
"ag085",0,0,0,0,0,0,0,0,0,0,8,8
"ag086",0,0,0,0,0,0,0,0,6,6,6,6
"ag087",0,0,0,0,0,0,0,0,0,5,5,5
"ag088",0,0,0,0,0,0,0,0,4,4,4,4
"ag089",0,0,0,0,0,0,0,0,0,8,8,8
"ag090",0,0,0,0,0,0,0,0,0,5,5,5
"ag093",0,0,0,0,0,0,0,0,5,5,5,5
"ag094",0,0,0,0,0,0,0,0,0,5,5,5
"ag095",0,0,0,0,0,0,0,9,9,9,9,9
"ag096",0,0,0,0,0,0,0,0,0,5,5,5
"ag098",0,0,0,0,0,0,0,5,5,5,5,5
"ag099",0,0,0,0,0,0,0,0,0,7,7,7
"ag100",0,0,0,0,0,0,0,5,5,5,5,5
"ag101",0,0,0,0,0,0,0,5,5,5,5,5
"ag102",0,0,0,0,0,0,0,0,0,10,10,10
"ag104",0,0,0,0,0,0,0,5,5,5,5,5
"ag105",0,0,0,0,0,0,0,0,0,0,9,9
"ag106",0,0,0,0,0,0,0,5,5,5,5,5
"ag107",0,0,0,0,0,0,0,6,6,6,6,6
"ag108",0,0,0,0,0,0,0,0,6,6,6,6
"ag109",0,0,0,0,0,0,0,0,0,0,21,21
"ag110",0,0,0,0,0,0,0,6,6,6,6,6
"ag111",0,0,0,0,0,0,0,0,0,5,5,5
"ag112",0,0,0,0,0,0,0,0,0,6,6,6
"ag113",0,0,0,0,0,0,0,6,6,6,6,6
"ag114",0,0,0,0,0,0,0,6,6,6,6,6
"ag117",0,0,0,0,0,0,0,0,0,0,5,5
"ag118",0,0,0,0,0,0,0,0,8,8,8,8
"ag119",0,0,0,0,0,0,0,0,7,7,7,7
"ag120",0,0,0,0,0,0,0,4,4,4,4,4
"ag122",0,0,0,0,0,0,0,6,6,6,6,6
"ag123",0,0,0,0,0,0,0,0,0,5,5,5
"ag124",0,0,0,0,0,0,0,4,4,4,4,4
"ag125",0,0,0,0,0,0,0,6,6,6,6,6
"ag126",0,0,0,0,0,0,0,5,5,5,5,5
"ag127",0,0,0,0,0,0,0,6,6,6,6,6
"ag128",0,0,0,0,0,0,0,4,4,4,4,4
"ag129",0,0,0,0,0,0,0,6,6,6,6,6
"ag130",0,0,0,0,0,0,0,5,5,5,5,5
"ag131",0,0,0,0,0,0,0,0,0,0,15,15
"ag132",0,0,0,0,0,0,0,0,6,6,6,6
"ag133",0,0,0,0,0,0,0,0,0,6,6,6
"ag134",0,0,0,0,0,0,0,6,6,6,6,6
"ag136",0,0,0,0,0,0,0,0,0,0,0,8
"ag137",0,0,0,0,0,0,0,3,3,3,3,3
"ag139",0,0,0,0,0,0,0,6,6,6,6,6
"ag140",0,0,0,0,0,0,0,0,0,0,0,3
"ag141",0,0,0,0,0,0,0,19,19,19,19,19
"ag142",0,0,0,0,0,0,0,6,6,6,6,6
"ag143",0,0,0,0,0,0,0,5,5,5,5,5
"ag144",0,0,0,0,0,0,0,0,7,7,7,7
"ag145",0,0,0,0,0,0,0,8,8,8,8,8
"ag147",0,0,0,0,0,0,0,5,5,5,5,5
"ag148",0,0,0,0,0,0,0,0,0,10,10,10
"ag149",0,0,0,0,0,0,0,3,3,3,3,3
"ag151",0,0,0,0,0,0,0,0,0,0,8,8
"ag152",0,0,0,0,0,0,0,0,0,0,15,15
"ag153",0,0,0,0,0,0,0,0,6,6,6,6
"ag154",0,0,0,0,0,0,0,0,0,7,7,7
"ag155",0,0,0,0,0,0,0,0,0,0,4,4
"ag156",0,0,0,0,0,0,0,6,6,6,6,6
"ag157",0,0,0,0,0,0,0,5,5,5,5,5
"ag159",0,0,0,0,0,0,0,5,5,5,5,5
"ag160",0,0,0,0,0,0,0,7,7,7,7,7
"ag161",0,0,0,0,0,0,0,0,0,5,5,5
"ag162",0,0,0,0,0,0,0,0,0,0,5,5
"ag163",0,0,0,0,0,0,0,0,0,5,5,5
"ag164",0,0,0,0,0,0,0,0,0,0,6,6
"ag165",0,0,0,0,0,0,0,0,0,4,4,4
"ag166",0,0,0,0,0,0,0,0,0,0,0,20
"ag167",0,0,0,0,0,0,0,5,5,5,5,5
"ag168",0,0,0,0,0,0,0,0,5,5,5,5
"ag169",0,0,0,0,0,0,0,0,5,5,5,5
"ag170",0,0,0,0,0,0,0,8,8,8,8,8
"ag171",0,0,0,0,0,0,0,0,0,3,3,3
"ag172",0,0,0,0,0,0,0,4,4,4,4,4
"ag173",0,0,0,0,0,0,0,0,8,8,8,8
"ag174",0,0,0,0,0,0,0,0,0,0,0,0
"ag175",0,0,0,0,0,0,0,7,7,7,7,7
"ag176",0,0,0,0,0,0,0,3,3,3,3,3
"ag177",0,0,0,0,0,0,0,0,4,4,4,4
"ag178",0,0,0,0,0,0,0,0,0,0,6,6
"ag179",0,0,0,0,0,0,0,4,4,4,4,4
"ag180",0,0,0,0,0,0,0,0,0,0,0,0
"ag181",0,0,0,0,0,0,0,7,7,7,7,7
"ag182",0,0,0,0,0,0,0,7,7,7,7,7
"ag183",0,0,0,0,0,0,0,0,0,0,0,8
"ag184",0,0,0,0,0,0,0,0,0,4,4,4
"ag185",0,0,0,0,0,0,0,6,6,6,6,6
"ag186",0,0,0,0,0,0,0,0,0,4,4,4
"ag188",0,0,0,0,0,0,0,7,7,7,7,7
"ag189",0,0,0,0,0,0,0,7,7,7,7,7
"ag191",0,0,0,0,0,0,0,6,6,6,6,6
"ag192",0,0,0,0,0,0,0,0,0,6,6,6
"ag193",0,0,0,0,0,0,0,6,6,6,6,6
"ag194",0,0,0,0,0,0,0,0,0,6,6,6
"ag195",0,0,0,0,0,0,0,0,0,8,8,8
"ag196",0,0,0,0,0,0,0,0,0,0,0,0
"ag197",0,0,0,0,0,0,0,0,7,7,7,7
"ag198",0,0,0,0,0,0,0,0,0,0,7,7
"ag199",0,0,0,0,0,0,0,6,6,6,6,6
"ag200",0,0,0,0,0,0,0,0,0,0,0,13
"ag201",0,0,0,0,0,0,0,0,8,8,8,8
"ag202",0,0,0,0,0,0,0,0,0,3,3,3
"ag204",0,0,0,0,0,0,0,7,7,7,7,7
"ag205",0,0,0,0,0,0,0,0,4,4,4,4
"ag206",0,0,0,0,0,0,0,0,0,12,12,12
"ag207",0,0,0,0,0,0,0,4,4,4,4,4
"ag208",0,0,0,0,0,0,0,0,0,0,6,6
"ag209",0,0,0,0,0,0,0,6,6,6,6,6
"ag210",0,0,0,0,0,0,0,6,6,6,6,6
"ag211",0,0,0,0,0,0,0,0,0,0,7,7
"ag212",0,0,0,0,0,0,0,6,6,6,6,6
"ag213",0,0,0,0,0,0,0,0,7,7,7,7
"ag214",0,0,0,0,0,0,0,4,4,4,4,4
"ag215",0,0,0,0,0,0,0,0,0,4,4,4
"ag216",0,0,0,0,0,0,0,0,0,0,7,7
"ag217",0,0,0,0,0,0,0,5,5,5,5,5
"ag218",0,0,0,0,0,0,0,4,4,4,4,4
"ag219",0,0,0,0,0,0,0,0,0,0,0,4
"ag220",0,0,0,0,0,0,0,6,6,6,6,6
"ag222",0,0,0,0,0,0,0,0,8,8,8,8
"ag223",0,0,0,0,0,0,0,0,0,0,5,5
"ag224",0,0,0,0,0,0,0,0,0,4,4,4
"ag225",0,0,0,0,0,0,0,0,0,0,7,7
"ag226",0,0,0,0,0,0,0,0,0,8,8,8
"ag227",0,0,0,0,0,0,0,0,0,0,0,0
"ag228",0,0,0,0,0,0,0,0,0,0,0,0
"ag230",0,0,0,0,0,0,0,6,6,6,6,6
"ag232",0,0,0,0,0,0,0,0,0,0,0,7
"ag233",0,0,0,0,0,0,0,0,0,0,6,6
"ag235",0,0,0,0,0,0,0,0,0,0,5,5
"ag236",0,0,0,0,0,0,0,0,8,8,8,8
"ag237",0,0,0,0,0,0,0,0,0,0,0,5
"ag238",0,0,0,0,0,0,0,5,5,5,5,5
"ag239",0,0,0,0,0,0,0,0,4,4,4,4
"ag240",0,0,0,0,0,0,0,0,0,0,5,5
"ag241",0,0,0,0,0,0,0,4,4,4,4,4
"ag242",0,0,0,0,0,0,0,5,5,5,5,5
"ag243",0,0,0,0,0,0,0,0,0,0,7,7
"ag244",0,0,0,0,0,0,0,6,6,6,6,6
"ag245",0,0,0,0,0,0,0,0,3,3,3,3
"ag246",0,0,0,0,0,0,0,9,9,9,9,9
"ag247",0,0,0,0,0,0,0,0,0,0,0,6
"ag248",0,0,0,0,0,0,0,5,5,5,5,5
"ag250",0,0,0,0,0,0,0,0,0,6,6,6
"ag251",0,0,0,0,0,0,0,0,0,0,0,0
"ag253",0,0,0,0,0,0,0,19,19,19,19,19
"ag254",0,0,0,0,0,0,0,6,6,6,6,6
"ag255",0,0,0,0,0,0,0,18,18,18,18,18
"ag256",0,0,0,0,0,0,0,8,8,8,8,8
"ag257",0,0,0,0,0,0,0,0,8,8,8,8
"ag258",0,0,0,0,0,0,0,0,0,4,4,4
"ag259",0,0,0,0,0,0,0,0,0,0,0,4
"ag260",0,0,0,0,0,0,0,0,0,0,0,0
"ag261",0,0,0,0,0,0,0,4,4,4,4,4
"ag262",0,0,0,0,0,0,0,3,3,3,3,3
"ag263",0,0,0,0,0,0,0,0,0,0,8,8
"ag264",0,0,0,0,0,0,0,0,0,2,2,2
"ag267",0,0,0,0,0,0,0,5,5,5,5,5
"ag268",0,0,0,0,0,0,0,0,0,0,0,6
"ag269",0,0,0,0,0,0,0,0,0,0,12,12
"ag270",0,0,0,0,0,0,0,6,6,6,6,6
"ag271",0,0,0,0,0,0,0,0,8,8,8,8
"ag272",0,0,0,0,0,0,0,5,5,5,5,5
"ag273",0,0,0,0,0,0,0,3,3,3,3,3
"ag274",0,0,0,0,0,0,0,0,8,8,8,8
"ag276",0,0,0,0,0,0,0,8,8,8,8,8
"ag277",0,0,0,0,0,0,0,5,5,5,5,5
"ag278",0,0,0,0,0,0,0,0,0,0,0,5
"ag279",0,0,0,0,0,0,0,6,6,6,6,6
"ag280",0,0,0,0,0,0,0,0,0,0,0,0
"ag281",0,0,0,0,0,0,0,0,0,0,11,11
"ag282",0,0,0,0,0,0,0,0,0,6,6,6
"ag283",0,0,0,0,0,0,0,0,0,0,4,4
"ag284",0,0,0,0,0,0,0,0,0,4,4,4
"ag285",0,0,0,0,0,0,0,6,6,6,6,6
"ag286",0,0,0,0,0,0,0,6,6,6,6,6
"ag287",0,0,0,0,0,0,0,7,7,7,7,7
"ag288",0,0,0,0,0,0,0,4,4,4,4,4
"ag289",0,0,0,0,0,0,0,8,8,8,8,8
"ag290",0,0,0,0,0,0,0,5,5,5,5,5
"ag291",0,0,0,0,0,0,0,0,9,9,9,9
"ag292",0,0,0,0,0,0,0,0,0,0,5,5
"ag293",0,0,0,0,0,0,0,3,3,3,3,3
"ag294",0,0,0,0,0,0,0,5,5,5,5,5
"ag295",0,0,0,0,0,0,0,0,0,0,7,7
"ag296",0,0,0,0,0,0,0,0,0,0,4,4
"ag297",0,0,0,0,0,0,0,7,7,7,7,7
"ag298",0,0,0,0,0,0,0,0,5,5,5,5
"ag299",0,0,0,0,0,0,0,0,0,0,9,9
