Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag085,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,20,20,20,20,13
ag086,0,0,0,0,0,0,0,4,4,4,4,4,4,11,11,11,11,7,15,15
ag087,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,9,11,11
ag088,0,0,0,0,0,0,0,3,3,3,3,3,7,7,7,7,7,9,9,9
ag089,0,0,0,0,0,0,0,3,3,3,3,3,20,20,20,20,20,17,38,38
ag090,0,0,0,0,0,0,0,0,3,3,3,3,3,8,8,8,8,8,11,11
ag093,0,0,0,0,0,0,0,0,4,4,4,4,4,10,10,10,10,10,16,16
ag094,0,0,0,0,0,0,0,0,2,2,2,2,2,2,15,15,15,15,13,13
ag095,0,0,0,0,0,0,0,6,6,6,6,6,17,17,17,17,35,29,29,29
ag096,0,0,0,0,0,0,0,0,2,2,2,2,2,2,21,21,21,21,19,19
ag098,0,0,0,0,0,0,0,3,3,3,3,3,21,21,21,21,21,36,36,36
ag099,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10,10,10,17,12,12
ag100,0,0,0,0,0,0,0,3,3,3,3,3,10,10,10,10,10,20,20,20
ag101,0,0,0,0,0,0,1,1,1,1,1,8,8,8,8,8,7,15,15,15
ag102,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,21,21,21,21,12
ag104,0,0,0,0,0,0,0,2,2,2,2,2,30,30,30,30,30,59,59,59
ag105,0,0,0,0,0,0,0,5,5,5,5,5,12,12,12,12,20,15,15,15
ag106,0,0,0,0,0,0,0,4,4,4,4,4,4,11,11,11,11,7,7,18
ag107,0,0,0,0,0,0,0,3,3,3,3,3,11,11,11,11,11,19,19,19
ag108,0,0,0,0,0,0,0,4,4,4,4,4,11,11,11,11,11,15,15,15
ag109,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,45,45,45,45,51
ag110,0,0,0,0,0,0,0,4,4,4,4,4,11,11,11,11,11,15,15,15
ag111,0,0,0,0,0,0,0,0,4,4,4,4,4,4,11,11,11,11,7,7
ag112,0,0,0,0,0,0,0,0,5,5,5,5,5,5,12,12,12,12,20,20
ag113,0,0,0,0,0,0,1,1,1,1,1,11,11,11,11,11,10,24,24,24
ag114,0,0,0,0,0,0,0,3,3,3,3,3,20,20,20,20,20,17,37,37
ag117,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9,10
ag118,0,0,0,0,0,0,0,5,5,5,5,5,13,13,13,13,13,20,20,20
ag119,0,0,0,0,0,0,0,4,4,4,4,4,11,11,11,11,11,17,17,17
ag120,0,0,0,0,0,0,0,3,3,3,3,3,7,7,7,7,12,9,9,9
ag122,0,0,0,0,0,0,0,4,4,4,4,4,11,11,11,11,22,18,18,18
ag123,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,9,12,12
ag124,0,0,0,0,0,0,0,2,2,2,2,2,9,9,9,9,9,15,15,15
ag125,0,0,0,0,0,0,0,4,4,4,4,4,13,13,13,13,13,24,24,24
ag126,0,0,0,0,0,0,1,1,1,1,1,7,7,7,7,7,13,13,13,13
ag127,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13,13
ag128,0,0,0,0,0,0,1,1,1,1,1,7,7,7,7,7,6,17,17,17
ag129,0,0,0,0,0,0,0,4,4,4,4,4,12,12,12,12,12,23,23,23
ag130,0,0,0,0,0,0,0,4,4,4,4,4,11,11,11,11,11,15,15,15
ag131,0,0,0,0,0,0,0,0,0,13,13,13,13,13,29,29,29,29,29,37
ag132,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10,10,10,16,11,11
ag133,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11,16
ag134,0,0,0,0,0,0,0,3,3,3,3,3,20,20,20,20,20,17,47,47
ag136,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15,15,15,15,8
ag137,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,20,20,20
ag139,0,0,0,0,0,0,1,1,1,1,1,17,17,17,17,17,33,33,33,33
ag140,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,5,5,5,5
ag141,0,0,0,0,0,0,0,17,17,17,17,17,38,38,38,38,61,44,44,44
ag142,0,0,0,0,0,0,0,4,4,4,4,4,11,11,11,11,11,15,15,15
ag143,0,0,0,0,0,0,0,4,4,4,4,4,4,13,13,13,13,9,25,25
ag144,0,0,0,0,0,0,0,5,5,5,5,5,12,12,12,12,12,15,15,15
ag145,0,0,0,0,0,0,0,6,6,6,6,6,27,27,27,27,27,44,44,44
ag147,0,0,0,0,0,0,0,3,3,3,3,3,23,23,23,23,23,47,47,47
ag148,0,0,0,0,0,0,0,0,7,7,7,7,7,7,18,18,18,18,11,31
ag149,0,0,0,0,0,0,0,2,2,2,2,2,14,14,14,14,14,12,28,28
ag151,0,0,0,0,0,0,0,4,4,4,4,4,11,11,11,11,11,16,16,16
ag152,0,0,0,0,0,0,0,0,12,12,12,12,12,28,28,28,28,28,36,36
ag153,0,0,0,0,0,0,0,5,5,5,5,5,10,10,10,10,16,11,11,11
ag154,0,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,13,15,15
ag155,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9,5
