Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag084,0,0,0,0,0,0,0,12,12,12,12,12,26,26,26,26,43,31,31,31
ag085,0,0,0,1,1,1,1,1,1,11,11,11,11,10,23,23,23,23,40,30
ag086,0,0,0,0,0,0,0,0,0,8,8,8,8,8,18,18,18,18,32,24
ag087,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13,13,13,13,15
ag088,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11,13,13
ag089,0,0,0,0,0,0,0,12,12,12,12,12,29,29,29,29,50,38,38,38
ag090,0,0,0,0,0,0,0,0,0,6,6,6,6,6,14,14,14,14,23,17
ag093,0,0,0,0,0,0,0,0,0,8,8,8,8,8,17,17,17,17,28,20
ag094,0,0,0,0,0,0,0,0,9,9,9,9,9,21,21,21,21,37,28,28
ag095,0,0,0,0,0,0,0,0,15,15,15,15,30,30,30,30,49,49,34,34
ag096,0,0,0,0,0,0,0,0,11,11,11,11,25,25,25,25,47,47,36,62
ag098,0,0,0,0,0,0,0,14,14,14,14,14,31,31,31,31,51,37,37,37
ag099,0,0,0,0,0,0,0,0,7,7,7,7,7,7,16,16,16,16,19,19
ag100,0,0,0,0,0,0,0,8,8,8,8,8,19,19,19,19,33,25,25,25
ag101,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,17,17,17,17,19
ag102,0,0,0,0,0,0,0,0,0,10,10,10,10,20,20,20,20,33,33,23
ag104,0,0,0,0,0,0,0,0,24,24,32,32,32,32,61,72,72,72,48,48
ag105,0,0,0,0,0,0,0,0,0,10,10,10,10,10,22,22,22,22,36,26
ag106,0,0,0,0,0,0,0,0,7,7,7,7,7,7,18,18,18,18,25,25
ag107,0,0,0,0,0,0,0,9,9,9,9,9,19,19,19,19,30,21,21,21
ag108,0,0,0,0,0,0,0,7,7,7,7,7,16,16,16,16,27,20,20,20
ag109,0,0,0,0,0,0,0,0,0,21,21,21,21,44,44,44,44,72,72,51
ag110,0,0,0,0,0,0,0,0,0,9,9,9,9,9,19,19,19,19,31,22
ag111,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,18,18,18,18,25
ag112,0,0,0,0,0,0,0,0,0,9,9,9,9,9,21,21,21,21,36,27
ag113,0,0,0,0,0,0,0,0,11,11,11,11,22,22,22,22,36,36,25,25
ag114,0,0,0,0,0,0,0,13,13,13,13,13,29,29,29,29,48,35,35,56
ag117,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,12,12,12,12,15
ag118,0,0,0,0,0,0,0,0,9,9,9,9,19,19,19,19,32,32,23,23
ag119,0,0,0,0,0,0,0,7,7,7,7,14,14,14,14,24,24,17,17,30
ag120,0,0,0,0,0,0,0,0,0,5,5,5,5,11,11,11,11,11,19,14
ag122,0,0,0,0,0,0,0,9,9,9,9,18,18,18,18,30,30,21,21,21
ag123,0,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,21,15,15
ag124,0,0,0,0,0,0,0,0,8,8,8,8,8,19,19,19,19,32,24,24
ag125,0,0,0,0,0,0,0,0,12,12,12,12,12,26,26,26,26,43,31,31
ag126,0,0,0,0,0,0,6,6,6,6,6,6,13,13,13,13,15,15,15,15
ag127,0,0,0,0,0,0,0,7,7,7,7,7,16,16,16,16,27,20,20,20
ag128,0,0,0,0,0,0,0,0,8,8,8,8,8,17,17,17,17,28,20,20
ag129,0,0,0,0,0,0,0,0,11,11,11,11,11,24,24,24,24,39,28,28
ag130,0,0,0,0,0,0,0,7,7,7,7,7,16,16,16,16,29,22,22,22
ag131,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,34,34,34,54,54
ag132,0,0,0,0,0,0,0,0,0,0,7,7,7,7,15,15,15,15,15,25
ag133,0,0,0,0,0,0,0,0,0,7,7,7,7,7,16,16,16,16,26,19
ag134,0,0,0,0,0,0,0,0,12,12,12,12,12,32,32,32,55,55,43,43
ag136,0,0,0,0,0,0,0,0,0,8,8,8,8,8,17,17,17,17,27,19
ag137,0,0,0,0,0,0,7,7,7,7,7,16,16,16,16,27,20,20,20,35
ag139,0,0,0,0,0,0,0,14,14,14,14,14,30,30,30,30,48,34,34,34
ag140,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,6,6,4,9,9
ag141,0,0,0,0,0,0,18,18,18,18,37,37,37,37,61,61,43,43,72,72
