Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
Total_kWh,0,0,0,2,4,7,166,933,1340,1551,1682,2094,3174,3721,4069,4667,5960,5830,5903,6510
ag003,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,7,7,7,7,4
ag004,0,0,0,0,0,0,0,5,5,5,5,5,5,11,11,11,11,13,13,13
ag005,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13
ag010,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,19
ag012,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,25,19,19,19,32
ag013,0,0,0,0,0,0,0,0,5,5,5,5,5,5,12,12,12,12,14,14
ag014,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,21,15,15,15
ag015,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,8,8,8,12
ag016,0,0,0,0,0,0,0,0,0,7,7,7,7,7,23,23,23,23,42,35
ag017,0,0,0,0,0,0,0,4,4,4,4,4,22,22,22,22,41,37,37,37
ag018,0,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,21,15,15
ag019,0,0,0,0,0,0,0,3,3,3,3,3,7,7,7,7,12,9,9,9
ag020,0,0,0,0,0,0,0,6,6,6,6,6,15,15,15,15,36,30,30,30
ag021,0,0,0,0,0,0,0,0,17,17,17,17,17,39,39,39,62,62,45,45
ag023,0,0,0,0,0,0,0,4,4,4,4,4,10,10,10,10,17,13,13,13
ag025,0,0,0,0,0,0,0,5,5,5,5,5,17,17,17,17,31,26,26,26
ag027,0,0,0,0,0,0,0,0,0,7,7,7,7,7,22,22,22,22,40,33
ag028,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13,13
ag029,0,0,0,0,0,0,0,0,5,5,5,5,5,5,12,12,12,12,14,14
ag030,0,0,0,0,0,0,0,0,3,3,3,3,3,3,7,7,7,7,9,9
ag031,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13
ag032,0,0,0,0,0,0,0,0,7,7,7,7,7,14,14,14,14,23,16,16
ag033,0,0,0,0,0,0,6,6,6,6,6,22,22,22,22,40,34,34,34,56
ag034,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,27,21,21,21
ag035,0,0,0,0,0,0,0,7,7,7,7,7,25,25,25,25,45,38,38,38
ag036,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13
ag037,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13,13
ag038,0,0,0,0,0,0,0,5,5,5,5,5,12,12,12,12,20,15,15,15
ag039,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13,13
ag040,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13
ag042,0,0,0,0,0,0,0,7,7,7,7,7,21,21,21,21,37,30,30,30
ag043,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,15,11,11,11
ag044,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18
ag045,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18
ag046,0,0,0,0,0,0,0,5,5,5,5,5,22,22,22,22,40,35,35,35
ag047,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,21,15,15,15
ag048,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,20
ag049,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,21,15,15,15,25
ag050,0,0,0,1,1,1,1,1,1,6,6,6,6,5,10,10,10,10,16,11
ag051,0,0,0,0,0,0,0,0,5,5,5,5,5,12,12,12,12,21,16,16
ag052,0,0,0,0,0,0,0,0,10,10,10,10,10,21,21,21,21,34,24,24
ag053,0,0,0,0,0,0,0,0,0,8,8,8,8,8,16,16,16,16,25,17
ag054,0,0,0,0,0,0,0,8,8,8,8,8,17,17,17,17,32,24,24,24
ag055,0,0,0,0,0,0,0,10,10,10,10,10,29,29,29,29,50,40,40,40
ag056,0,0,0,0,0,0,0,0,14,14,14,14,14,30,30,30,30,48,34,34
ag058,0,0,0,0,0,0,0,7,7,7,7,7,27,27,27,27,48,41,41,64
ag059,0,0,0,0,0,0,0,7,7,7,7,14,14,14,14,24,24,17,17,30
ag060,0,0,0,0,0,0,0,5,5,5,5,5,5,12,12,12,12,7,15,15
ag062,0,0,0,0,0,0,0,0,0,12,12,12,12,12,26,26,26,26,44,32
ag063,0,0,0,0,0,0,0,0,0,4,4,4,4,4,17,17,17,17,32,28
ag064,0,0,0,0,0,0,0,0,0,6,6,6,6,6,12,12,12,12,19,13
ag065,0,0,0,0,0,0,0,6,6,6,6,6,15,15,15,15,31,25,25,25
ag066,0,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13
ag067,0,0,0,0,0,0,0,9,9,9,9,9,19,19,19,19,35,26,26,26
ag068,0,0,0,0,0,0,0,0,11,11,11,11,11,22,22,22,22,42,31,31
ag069,0,0,0,0,0,0,0,8,8,8,8,8,21,21,21,21,35,27,27,27
ag070,0,0,0,0,0,0,0,7,7,7,7,7,23,23,23,23,40,33,33,33
ag071,0,0,0,0,0,0,0,0,7,7,7,7,7,15,15,15,15,26,19,19
ag072,0,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,15,11
ag073,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,21,15,15,15
ag074,0,0,0,0,0,0,0,6,6,6,6,6,14,14,14,14,24,18,18,18
ag075,0,0,0,0,0,0,7,7,7,7,7,30,30,30,52,52,45,45,74,74
ag076,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15,15,15,15,22,22
ag077,0,0,0,0,0,0,0,0,5,5,5,5,5,12,12,12,12,12,16,16
ag078,0,0,0,0,0,0,0,8,8,8,8,8,17,17,17,17,27,19,19,19
ag080,0,0,0,0,0,0,0,8,8,8,8,8,21,21,21,21,36,28,28,28
ag081,0,0,0,0,0,1,1,1,1,1,1,8,8,8,8,7,15,15,15,15
ag082,0,0,0,0,0,0,0,0,7,7,7,7,7,25,25,25,42,42,35,35
