Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag060,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2,2,2,2,3,3,3,3,4,4,4
ag062,4,4,4,4,4,4,4,7.5,7.5,7.5,7.5,7.5,9.5,9.5,9.5,9.5,12.5,12.5,12.5,12.5
ag063,0,0,1.5,1.5,1.5,1.5,1.5,1.5,6.5,6.5,6.5,6.5,6.5,11,11,11,11,15,15,15
ag064,0,0,0,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5,5,5,5,5,7,7
ag065,1,1,1,1,1,1,1,4,4,4,4,4,6.5,6.5,6.5,6.5,8.5,8.5,8.5,8.5
ag066,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,4.5,4.5,4.5,4.5,5,5,5
ag067,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,6,6,6,6,7,7,7,7,9
ag068,0,0,0.5,0.5,0.5,0.5,0.5,0.5,5,5,5,5,5,6.5,6.5,6.5,6.5,7.5,7.5,7.5
ag069,2,2,2,2,2,2,2,2,5.5,5.5,5.5,5.5,5.5,7,7,7,7,8.5,8.5,8.5
ag070,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6,6,6,6,8.5,8.5,8.5,8.5,10,10,10,10
ag071,0,1,1,1,1,1,1,1,4.5,4.5,4.5,4.5,4.5,6,6,6,6,7.5,7.5,7.5
ag072,0,0,0,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5,3.5,8.5,8.5,8.5,8.5,12.5
ag073,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3,4,4,4,4,4.5,4.5,4.5,4.5
ag074,0,1,1,1,1,1,1,1,1,4.5,4.5,4.5,4.5,4.5,8,8,8,8,11,11
ag075,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,7.5,7.5,7.5,7.5,9.5,9.5,9.5,9.5,11,11,11,12
ag076,0,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,9,9,9,9
ag077,0,0,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,4,4,4,4,5.5,5.5
ag078,1,1,1,1,1,1,1,4,4,4,4,4,5.5,5.5,5.5,5.5,7,7,7,7
ag080,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,7,7,7,7,8.5,8.5,8.5,8.5,11
ag081,0,0,0,0,0,0,0,2,2,2,2,2,3.5,3.5,3.5,3.5,5,5,5,5
ag082,2,2,2,2,2,2,2,7,7,7,7,7,10,10,10,10,14.5,14.5,14.5,18.5
ag083,0,0,0,0,0,0,0,2,2,2,2,2,3.5,3.5,3.5,3.5,5,5,5,5
ag084,2,2,2,2,2,2,2,7,7,7,7,7,9.5,9.5,9.5,9.5,12,12,12,12
ag085,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5,8.5,8.5,8.5,8.5,11,11
ag086,1,1,1,1,1,1,1,1,1,4,4,4,4,4,6,6,6,6,8.5,8.5
ag087,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,3.5,3.5,4
ag088,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2,2,2,2,3,3,3,3,3.5,3.5
ag089,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6.5,6.5,6.5,6.5,6.5,9,9,9,9,10.5,10.5,10.5,10.5
ag090,0,1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.5,5.5,5.5
ag093,0,1,1,1,1,1,1,1,1,5,5,5,5,5,7,7,7,7,9.5,9.5
ag094,0,1,1,1,1,1,1,1,5.5,5.5,5.5,5.5,5.5,9.5,9.5,9.5,9.5,16.5,16.5,16.5
ag095,1,1,1,1,1,1,1,1,5.5,5.5,5.5,5.5,7,7,7,7,9,9,9,9
ag096,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,8.5,8.5,8.5,8.5,13.5,13.5,13.5,13.5,21.5,21.5,21.5,29
ag098,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6.5,6.5,6.5,6.5,6.5,9,9,9,9,10,10,10,10
ag099,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3,3,4.5,4.5,4.5,4.5,5,5
ag100,1,1,1,1,1,1,1,4.5,4.5,4.5,4.5,4.5,7.5,7.5,7.5,7.5,10,10,10,10
ag101,1,1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,6
ag102,0,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,8,8,8,8,10.5,10.5,10.5,10.5,13,13,13
ag104,2,2,2,2,2,2,2,2,10.5,10.5,11.5,11.5,11.5,11.5,16.5,16.5,16.5,16.5,16.5,16.5
ag105,1,1,1,1,1,1,1,1,1,5,5,5,5,5,7,7,7,7,8.5,8.5
ag106,1,1,1,1,1,1,1,1,4,4,4,4,4,4,7,7,7,7,9,9
ag107,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,6,6,6,6,7.5,7.5,7.5,7.5
ag108,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5
