"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Total_kWp",568.5,629,636.5,641.5,643,643,643,1127,1205,1303.5,1369.5,1396.5
"ag003",1,1,1,1,1,1,1,1,5,5,5,5
"ag004",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag005",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5
"ag010",0,1,1,1,1,1,1,1,1,5,5,5
"ag012",3,3,3,3,3,3,3,5,5,5,5,5
"ag013",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag014",2,2,2,2,2,2,2,5,5,5,5,5
"ag015",0,1,1,1,1,1,1,1,1,5,5,5
"ag016",0,3,3,3,3,3,3,3,3,5,5,5
"ag017",4,4,4,4,4,4,4,5,5,5,5,5
"ag018",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag019",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag020",4,4,4,4,4,4,4,5,5,5,5,5
"ag021",0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,10.5,10.5,10.5
"ag023",3,3,3,3,3,3,3,5,5,5,5,5
"ag025",5,5,5,5,5,5,5,5,5,5,5,5
"ag027",0,2,2,2,2,2,2,2,2,5,5,5
"ag028",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag029",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag030",0,2,2,2,2,2,2,2,2,5,5,5
"ag031",2,2,2,2,2,2,2,2,5,5,5,5
"ag032",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag033",4,4,4,4,4,4,4,5,5,5,5,5
"ag034",3,3,3,3,3,3,3,5,5,5,5,5
"ag035",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5
"ag036",1,1,1,1,1,1,1,5,5,5,5,5
"ag037",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag038",3,3,3,3,3,3,3,5,5,5,5,5
"ag039",3,3,3,3,3,3,3,5,5,5,5,5
"ag040",1,1,1,1,1,1,1,5,5,5,5,5
"ag042",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag043",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5
"ag044",1,1,1,1,1,1,1,5,5,5,5,5
"ag045",0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5
"ag046",3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5
"ag047",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag048",0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5
"ag049",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5
"ag050",0,2,2,2,2,2,2,2,2,5,5,5
"ag051",2,2,2,2,2,2,2,5,5,5,5,5
