"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag098",2,2,2,2,2,2,2,2,2,7.5,7.5,7.5
"ag099",1,1,1,1,1,1,1,1,1,1,3.5,3.5
"ag100",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6,6
"ag101",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag102",2,2,2,2,2,2,2,7,7,7,7,7
"ag104",2,2,2,2,2,2,2,10.5,10.5,10.5,10.5,10.5
"ag105",1,1,1,1,1,1,1,1,1,5,5,5
"ag106",1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5
"ag107",2,2,2,2,2,2,2,2,2,5.5,5.5,5.5
"ag108",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag109",3,3,3,3,3,3,3,3,12.5,12.5,12.5,12.5
"ag110",1,1,1,1,1,1,1,1,1,4,4,4
"ag111",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag112",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5
"ag113",1,1,1,1,1,1,1,4.5,4.5,4.5,4.5,4.5
"ag114",2.5,2.5,2.5,2.5,2.5,2.5,2.5,7,7,7,7,7
"ag117",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5
"ag118",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5
"ag119",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5
"ag120",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag122",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6
"ag123",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag124",1,1,1,1,1,1,1,1,1,4,4,4
"ag125",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5
"ag126",1,1,1,1,1,1,1,1,1,3,3,3
"ag127",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4,4,4,4
"ag128",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,6,6,6,6
"ag129",1,1,1,1,1,1,1,5.5,5.5,5.5,5.5,5.5
"ag130",1,1,1,1,1,1,1,1,1,1,4,4
"ag131",2,2,2,2,2,2,2,8.5,8.5,8.5,8.5,8.5
"ag132",1,1,1,1,1,1,1,1,1,1,4,4
"ag133",1,1,1,1,1,1,1,1,4.5,4.5,4.5,4.5
"ag134",1,1,1,1,1,1,1,6.5,6.5,6.5,6.5,6.5
"ag136",0,1,1,1,1,1,1,1,1,1,1,1
"ag137",2.5,2.5,2.5,2.5,2.5,2.5,2.5,6,6,6,6,6
"ag139",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,7.5,7.5,7.5,7.5
"ag140",0,0,0,0,0,0,1,1,1,1,1,1
"ag141",3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,10,10,10,10
"ag142",0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3
"ag143",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5
"ag144",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag145",1,1,1,1,1,1,1,6.5,6.5,6.5,6.5,6.5
"ag147",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,7.5,7.5,7.5,7.5
"ag148",1,1,1,1,1,1,1,1,1,5.5,5.5,5.5
"ag149",3,3,3,3,3,3,3,6.5,6.5,6.5,6.5,6.5
"ag151",1,1,1,1,1,1,1,1,1,1,4.5,4.5
"ag152",0,3,3,3,3,3,3,3,3,11,11,11
"ag153",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3
"ag154",1,1,1,1,1,1,1,1,1,1,5,5
"ag155",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2
"ag156",1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6,6,6,6
"ag157",2,2,2,2,2,2,2,2,7,7,7,7
"ag159",2,2,2,2,2,2,2,2,7,7,7,7
"ag160",1,1,1,1,1,1,1,5,5,5,5,5
"ag161",1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6,6,6,6
"ag162",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3
"ag163",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5
"ag164",1,1,1,1,1,1,1,1,1,3,3,3
"ag165",0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag166",0,2,2,2,2,2,2,2,2,11.5,11.5,11.5
"ag167",1,1,1,1,1,1,1,1,1,4,4,4
"ag168",0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5
"ag169",0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5
"ag170",1,1,1,1,1,1,1,4,4,4,4,4
"ag171",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag172",1,1,1,1,1,1,1,1,1,4,4,4
"ag173",1,1,1,1,1,1,1,1,1,4,4,4
"ag174",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4
"ag175",1,1,1,1,1,1,1,1,6.5,6.5,6.5,6.5
"ag176",0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5
"ag177",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag178",0,1,1,1,1,1,1,1,1,3,3,3
"ag179",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag180",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,3.5
"ag181",1.5,1.5,1.5,1.5,1.5,1.5,1.5,6.5,6.5,6.5,6.5,6.5
"ag182",1,1,1,1,1,1,1,1,1,1,3.5,3.5
"ag183",1,1,1,1,1,1,1,1,1,1,5.5,5.5
"ag184",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5
"ag185",2.5,2.5,2.5,2.5,2.5,2.5,2.5,5.5,5.5,5.5,5.5,5.5
"ag186",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag188",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,3.5,3.5,3.5
"ag189",1,1,1,1,1,1,1,4.5,4.5,4.5,4.5,4.5
"ag191",2,2,2,2,2,2,2,9,9,9,9,9
"ag192",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6
"ag193",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6,6
"ag194",1,1,1,1,1,1,1,1,1,4,4,4
"ag195",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5
"ag196",0,1,1,1,1,1,1,1,1,1,1,1
"ag197",1,1,1,1,1,1,1,1,1,4.5,4.5,4.5
"ag198",0,1,1,1,1,1,1,1,1,4,4,4
"ag199",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5
"ag200",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,7.5,7.5,7.5,7.5
"ag201",1,1,1,1,1,1,1,1,1,5.5,5.5,5.5
"ag202",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
"ag204",1,1,1,1,1,1,1,4,4,4,4,4
"ag205",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5
"ag206",0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,5,5,5,5
"ag207",2,2,2,2,2,2,2,6.5,6.5,6.5,6.5,6.5
"ag208",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag209",1,1,1,1,1,1,1,1,1,4.5,4.5,4.5
"ag210",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag211",1,1,1,1,1,1,1,1,1,4,4,4
"ag212",2,2,2,2,2,2,2,2,7.5,7.5,7.5,7.5
"ag213",1,1,1,1,1,1,1,1,1,4,4,4
"ag214",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag215",1,1,1,1,1,1,1,1,1,1,4.5,4.5
"ag216",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3
"ag217",1,1,1,1,1,1,1,1,4.5,4.5,4.5,4.5
"ag218",0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2,2,2
