Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag085,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,11,11,11,11,7
ag086,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15
ag087,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,6,5,5
ag088,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5
ag089,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,35
ag090,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,10
ag093,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7
ag094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8
ag095,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,31
ag096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16
ag098,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,35
ag099,0,0,0,0,0,0,0,0,1,1,1,1,1,1,8,8,8,8,7,7
ag100,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8
ag101,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,14
ag102,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,12,12,12,12,11
ag104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,28,58
ag105,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,21
ag106,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,15
ag107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9
ag108,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15
ag109,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,27,27,27,26
ag110,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,16
ag111,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,7,7,6,6
ag112,0,0,0,0,0,0,0,0,2,2,2,2,2,2,9,9,9,9,7,7
ag113,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,24
ag114,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,34
ag117,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,7,7,7,7,9
ag118,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,20
ag119,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8
ag120,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,10
ag122,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,20
ag123,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,6,5,5
ag124,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,14
ag125,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,25
ag126,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13
ag127,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,16
ag128,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,19
ag129,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,23
ag130,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15
ag131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17
ag132,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13
ag133,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,8,8,5
ag134,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,40
ag136,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9,9,9,9,8
ag137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10
ag139,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,34
ag140,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,4,4
ag141,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,23,23,47
ag142,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,16
ag143,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,24
ag144,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,16
ag145,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,43
ag147,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,44
ag148,0,0,0,0,0,0,0,0,1,1,1,1,1,1,12,12,12,12,11,11
ag149,0,0,0,0,0,0,0,1,1,1,1,1,1,1,12,12,12,11,11,11
ag151,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,20
ag152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17
ag153,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,14
ag154,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8
ag155,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,7,7,7,7,4
ag156,0,0,0,0,0,0,0,1,1,1,1,1,1,15,15,15,15,14,14,29
ag157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15
ag159,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,30
ag160,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,30
ag161,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10,10,10,9,9
ag162,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,6,5,5
ag163,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,6,5,5
ag164,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,7,7,6,6
ag165,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,8,8
ag166,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,22,22,22,21,21
ag167,0,0,0,0,0,0,0,0,1,1,1,1,1,1,8,8,8,8,7,7
ag168,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11
ag169,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6
ag170,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,22
ag171,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,4,4,3,3
ag172,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,12
ag173,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,20
ag174,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,8,8
ag175,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,25,25
ag176,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11
ag177,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5
ag178,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,7,7,6,6
ag179,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6
ag180,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,9,9,9
ag181,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,35
ag182,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,17
ag183,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,9,9,9,9,7
ag184,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5
ag185,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,32
ag186,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,5,5,4,8
ag188,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,18
ag189,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,20,20
ag191,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,23,23,48
ag192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7
ag193,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,22
ag194,0,0,0,0,0,0,0,0,1,1,1,1,1,7,7,7,7,7,6,13
